index,title,link,price,rating_value,rating_member_count,datetime
1,"Apple iPhone X, Fully Unlocked 5.8"", 64 GB - Silver",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-5-8/dp/B075QN8NDH,1137,4.3 out of 5 stars,43,2018-02-05 22:46:17.474619
2,"Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Space Gray",https://www.amazon.com/Apple-iPhone-GSM-Unlocked-5-8/dp/B075QMZH2L,0,4.5 out of 5 stars,74,2018-02-05 22:46:17.474637
3,"Apple iPhone X, Fully Unlocked 5.8"", 256 GB - Silver",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-5-8/dp/B075QLRSPK,1295,4.3 out of 5 stars,43,2018-02-05 22:46:17.474645
4,"Apple iPhone X, GSM Unlocked 5.8"", 64 GB - Silver",https://www.amazon.com/Apple-iPhone-GSM-Unlocked-5-8/dp/B075QN8NDJ,1119,4.5 out of 5 stars,74,2018-02-05 22:46:17.474652
5,"Apple iPhone X, Fully Unlocked 5.8"", 256 GB - Space Gray",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-5-8/dp/B075QNGDZD,1289,4.3 out of 5 stars,43,2018-02-05 22:46:17.474660
6,"Apple iPhone X 256 GB T-Mobile - Space Gray, Locked to T-Mobile",https://www.amazon.com/Apple-iPhone-256-GB-T-Mobile/dp/B077G7B61X,1310,5 out of 5 stars,1,2018-02-05 22:46:17.474667
7,"Apple iPhone X, GSM Unlocked 5.8"", 64 GB - Space Gray",https://www.amazon.com/Apple-iPhone-GSM-Unlocked-5-8/dp/B075QJSQM5,1124,4.5 out of 5 stars,74,2018-02-05 22:46:17.474674
8,"Apple iPhone X, Fully Unlocked 5.8"", 64 GB - Space Gray",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-5-8/dp/B075QJSXDW,1137,4.3 out of 5 stars,43,2018-02-05 22:46:17.474691
9,"Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Silver",https://www.amazon.com/Apple-iPhone-GSM-Unlocked-5-8/dp/B075QNGDZL,1310,4.5 out of 5 stars,74,2018-02-05 22:46:17.474698
10,"New Apple iPhone X, GSM Unlocked 5.8"", 256 GB - Silver",https://www.amazon.com/New-Apple-iPhone-GSM-Unlocked/dp/B077C6VJVR,0,,0,2018-02-05 22:46:17.474705
11,"Apple iPhone 6 Unlocked Smartphone, 16 GB (Gold) (Certified Refurbished)",https://www.amazon.com/Apple-Unlocked-Smartphone-Certified-Refurbished/dp/B00YD545CC,204,3.3 out of 5 stars,3402,2018-02-05 22:46:17.474711
12,Apple iPhone 6 Plus 16GB GSM Unlocked Smartphone - Silver (Certified Refurbished),https://www.amazon.com/Apple-iPhone-Plus-Unlocked-Smartphone/dp/B00YD54HZ2,288,3.5 out of 5 stars,1894,2018-02-05 22:46:17.474720
13,"generic Goophone i10 5.8"" OctaCore GSM Factory Unlocked Cell Phone - International Version (Space Gray)",https://www.amazon.com/generic-Goophone-OctaCore-Factory-Unlocked/dp/B0793PPV3C,0,3 out of 5 stars,2,2018-02-05 22:46:17.474737
14,24K Gold Plated iPhone X 256 GB Silver - Unlocked Custom,https://www.amazon.com/24K-Gold-Plated-iPhone-Silver/dp/B078T2CZH5,0,,0,2018-02-05 22:46:17.474756
15,Apple iPhone X AT&T 64GB (Space Gray) Locked to AT&T,https://www.amazon.com/Apple-iPhone-64GB-Space-Locked/dp/B0776LL1HN,1170,5 out of 5 stars,1,2018-02-05 22:46:17.474762
16,"iPhone X Case, Crystal Clear Shock Absorption Technology Bumper Transparent TPU+Acrylic Cover vase for iPhone X- Clear",https://www.amazon.com/Crystal-Absorption-Technology-Transparent-Acrylic/dp/B07796TJG5,8,5 out of 5 stars,3,2018-02-05 22:46:17.474778
